A_x,A_y,B_x,B_y,A_native_x,A_native_y,B_native_x,B_native_y,A_lon,A_lat,B_lon,B_lat,geo_distance_deg
240.0,570.0,270.0,20.0,2400,5700,2700,200,56.6290554,-61.6617865,56.6287694,-61.6615859,0.00034933702923858504
250.0,570.0,280.0,20.0,2500,5700,2800,200,56.6309252,-61.6617385,56.6306815,-61.6615615,0.00030119543489169804
260.0,570.0,290.0,20.0,2600,5700,2900,200,56.6327951,-61.6616903,56.6325937,-61.661537,0.00025310640054881846
270.0,570.0,300.0,20.0,2700,5700,3000,200,56.634665,-61.6616422,56.6345063,-61.6615125,0.00020495799569814294
280.0,570.0,310.0,20.0,2800,5700,3100,200,56.636535,-61.661594,56.636419,-61.6614879,0.00015720435745246518
290.0,570.0,320.0,20.0,2900,5700,3200,200,56.6384051,-61.6615458,56.638332,-61.6614634,0.00011015157738168505
300.0,570.0,330.0,20.0,3000,5700,3300,200,56.6402753,-61.6614976,56.6402452,-61.6614388,6.605641527923715e-05
310.0,570.0,340.0,20.0,3100,5700,3400,200,56.6421455,-61.6614493,56.6421586,-61.6614141,3.755862084858415e-05
320.0,570.0,350.0,20.0,3200,5700,3500,200,56.6440158,-61.661401,56.6440723,-61.6613895,5.765847725985186e-05
330.0,570.0,360.0,20.0,3300,5700,3600,200,56.6458861,-61.6613527,56.6459862,-61.6613648,0.0001008286665630437
340.0,570.0,370.0,20.0,3400,5700,3700,200,56.6477566,-61.6613043,56.6479003,-61.6613401,0.00014809230230039503
350.0,570.0,380.0,20.0,3500,5700,3800,200,56.6496271,-61.6612559,56.6498147,-61.6613154,0.00019680957802231268
360.0,570.0,390.0,20.0,3600,5700,3900,200,56.6514976,-61.6612075,56.6517293,-61.6612906,0.0002461513761892163
370.0,570.0,400.0,20.0,3700,5700,4000,200,56.6533683,-61.661159,56.6536442,-61.6612658,0.00029584970847372385
380.0,570.0,410.0,20.0,3800,5700,4100,200,56.655239,-61.6611105,56.6555592,-61.661241,0.000345772020264223
390.0,570.0,420.0,20.0,3900,5700,4200,200,56.6571098,-61.661062,56.6574745,-61.6612162,0.0003959592529518245
400.0,570.0,430.0,20.0,4000,5700,4300,200,56.6589806,-61.6610135,56.6593901,-61.6611913,0.0004464337464858714
410.0,570.0,440.0,20.0,4100,5700,4400,200,56.6608515,-61.6609649,56.6613058,-61.6611664,0.0004969816294385663
420.0,570.0,450.0,20.0,4200,5700,4500,200,56.6627225,-61.6609163,56.6632218,-61.6611415,0.0005477367342095355
430.0,570.0,460.0,20.0,4300,5700,4600,200,56.6645936,-61.6608676,56.6651381,-61.6611165,0.0005986914564231298
440.0,570.0,470.0,20.0,4400,5700,4700,200,56.6664647,-61.6608189,56.6670545,-61.6610915,0.000649749797997402
450.0,570.0,480.0,20.0,4500,5700,4800,200,56.6683359,-61.6607702,56.6689712,-61.6610665,0.0007009991298110564
460.0,570.0,490.0,20.0,4600,5700,4900,200,56.6702072,-61.6607215,56.6708882,-61.6610415,0.0007524367083027988
470.0,570.0,500.0,20.0,4700,5700,5000,200,56.6720785,-61.6606727,56.6728053,-61.6610164,0.0008039701051686731
490.0,570.0,520.0,10.0,4900,5700,5200,100,56.6758214,-61.6605751,56.6765455,-61.6600819,0.0008761090400232155
500.0,570.0,530.0,10.0,5000,5700,5300,100,56.6776929,-61.6605262,56.6784634,-61.6600568,0.0009022231486735788
510.0,570.0,540.0,10.0,5100,5700,5400,100,56.6795646,-61.6604773,56.6803814,-61.6600316,0.0009304895109554599
520.0,570.0,550.0,10.0,5200,5700,5500,100,56.6814362,-61.6604284,56.6822997,-61.6600064,0.0009611015815211459
530.0,570.0,560.0,10.0,5300,5700,5600,100,56.683308,-61.6603795,56.6842182,-61.6599812,0.000993532551052133
550.0,570.0,570.0,10.0,5500,5700,5700,100,56.6870517,-61.6602815,56.686137,-61.6599559,0.0009709229887042008
560.0,570.0,580.0,10.0,5600,5700,5800,100,56.6889237,-61.6602324,56.6880559,-61.6599306,0.0009187818457000387
570.0,570.0,590.0,10.0,5700,5700,5900,100,56.6907957,-61.6601833,56.6899752,-61.6599053,0.0008663164837437591
580.0,570.0,600.0,10.0,5800,5700,6000,100,56.6926678,-61.6601342,56.6918946,-61.65988,0.0008139139266578067
590.0,570.0,610.0,10.0,5900,5700,6100,100,56.69454,-61.6600851,56.6938143,-61.6598546,0.0007614267791494272
600.0,570.0,620.0,10.0,6000,5700,6200,100,56.6964123,-61.6600359,56.6957342,-61.6598292,0.0007089037311245394
610.0,570.0,630.0,10.0,6100,5700,6300,100,56.6982846,-61.6599867,56.6976544,-61.6598038,0.0006562045793833941
620.0,570.0,640.0,10.0,6200,5700,6400,100,56.700157,-61.6599375,56.6995748,-61.6597783,0.0006035739225610353
630.0,570.0,650.0,10.0,6300,5700,6500,100,56.7020294,-61.6598882,56.7014954,-61.6597528,0.0005508985024497115
640.0,570.0,660.0,10.0,6400,5700,6600,100,56.703902,-61.6598389,56.7034162,-61.6597273,0.0004984538092934514
650.0,570.0,670.0,10.0,6500,5700,6700,100,56.7057746,-61.6597896,56.7053373,-61.6597018,0.0004460270507512278
660.0,570.0,680.0,10.0,6600,5700,6800,100,56.7076472,-61.6597402,56.7072587,-61.6596762,0.00039373626960185863
670.0,570.0,690.0,10.0,6700,5700,6900,100,56.70952,-61.6596908,56.7091802,-61.6596506,0.00034216966551608275
680.0,570.0,700.0,10.0,6800,5700,7000,100,56.7113928,-61.6596414,56.711102,-61.659625,0.0002912620812964021
690.0,570.0,710.0,10.0,6900,5700,7100,100,56.7132657,-61.6595919,56.713024,-61.6595993,0.00024181325439643394
700.0,570.0,720.0,10.0,7000,5700,7200,100,56.7151386,-61.6595425,56.7149463,-61.6595737,0.0001948146041776081
710.0,570.0,730.0,10.0,7100,5700,7300,100,56.7170116,-61.6594929,56.7168688,-61.659548,0.0001530615889117867
